Z_Depth_m,BBox_Area_px2
4.8453,1242.25
4.717,1283.61
4.5878,1359.71
4.4567,1407.41
4.3255,1665.53
4.1963,1722.04
4.075,1751.14
3.9512,1901.03
3.8275,2130.1
3.7041,2321.77
3.5861,2543.86
3.4763,2517.92
3.3682,2658.28
3.2571,3114.07
3.1452,2948.91
3.038,3320.33
2.9317,3261.18
2.8325,3670.95
2.7287,4088.97
2.6286,4323.59
2.5357,5055.73
2.4461,5386.6
2.3591,6114.02
2.2796,7012.52
2.2046,6859.18
2.1359,6718.79
2.0643,7446.57
1.9889,8503.43
1.9124,8950.86
1.8428,9946.23
1.7776,10181.12
1.7181,11790.4
1.6575,12058.48
1.615,13291.96
1.5779,13078.31
1.5375,14563.51
1.4981,15494.35
1.4606,15996.38
1.4406,17252.74
1.4225,16746.91
1.4072,17182.32
1.394,17817.86
1.3889,18121.6
1.3763,19564.35
1.3601,21337.39
1.3451,19787.38
1.3288,21515.61
1.3048,22130.21
1.2849,23948.53
1.2801,21612.77
1.2959,22851.26
1.2964,22306.14
1.2925,21993.41
1.2861,21430.73
1.2828,22592.54
1.2672,22733.59
1.2434,21922.5
1.2272,23838.87
1.199,24854.43
1.1768,25498.0
1.1504,26981.47
1.1295,28599.0
1.1302,28172.11
1.144,27022.27
1.1624,27365.88
1.1844,26476.83
1.2086,24435.26
1.2233,27988.27
1.231,24833.85
1.2351,25472.7
1.2223,26302.23
1.1909,25949.58
1.1589,29383.47
1.1126,31569.57
1.0763,31992.37
